Q_total_W,Q_total_kW,velocity_m_s,mass_flow_kg_s,volumetric_flow_m3_s,T_inlet_C,T_outlet_C,T_avg_C,T_max_C,T_sample_C,x_sample_m,y_sample_m,z_sample_m,delta_T_C,Q_computed_W,cooling_efficiency,reynolds_number,peclet_number
47411.646153202164,47.41164615320216,2.20890280390062,63.82845542151232,53.01366729361488,18.0,19.294891771278692,19.06627381675053,19.590532748363778,19.10169088364095,6.72702994208898,6.373451177530979,0.7514036963774969,0.73910244271271,47411.646153202164,1.0,1472601.86926708,1004046.7290457365
31299.796291212406,31.299796291212406,2.4232565799273518,70.02242213358076,58.15815791825645,18.0,19.412125901419948,19.273865690936603,19.590035062301247,19.409952825860202,9.623380574812067,4.146923706682565,0.218695355614965,0.4447729022032547,31299.796291212402,0.9999999999999999,1615504.3866182344,1101480.2636033418
107146.81517129572,107.14681517129571,2.2000609441209082,63.57296104131776,52.8014626589018,18.0,19.327047073756415,18.801749035636586,20.697824306507624,18.69908779983097,4.981296741839803,4.636290953199849,0.859981743861069,1.677029741776682,107146.81517129569,0.9999999999999998,1466707.2960806054,1000027.7018731402
11853.44044172135,11.85344044172135,0.8905348392368075,25.732894714586788,21.37283614168338,18.0,18.34644053944747,18.209782047683316,18.753580416487615,18.39314222892077,8.476113742156492,1.6854431786205026,1.872871202349809,0.45834206497295327,11853.44044172138,1.0,593689.8928245384,404788.563289458
91602.06409142542,91.60206409142542,1.8938740351552612,54.725384119846424,45.45297684372627,18.0,19.106794517831855,18.60293071095883,20.89045833563763,18.384887356389083,5.115195574628737,5.653501667684348,0.5782560312381368,1.6655220222789495,91602.06409142532,0.9999999999999989,1262582.6901035074,860851.8341614823
144488.08827660745,144.48808827660744,2.0451830875278785,59.09761049720558,49.08439410066909,18.0,20.89519938385125,20.155660912290237,21.86829620354804,20.17837983199196,2.6983760481787766,5.7218343182103855,2.871319658568097,2.432742049241977,144488.08827660745,1.0,1363455.3916852523,929628.6761490357
128489.8588831887,128.4898588831887,2.905443095966823,83.95568370105731,69.73063430320374,18.0,18.758663640345016,18.337541461545847,20.89613899507848,18.729145999094616,8.46228323115411,6.545904225535439,1.1882155617500703,1.5228344314264568,128489.85888318864,0.9999999999999996,1936962.063977882,1320655.9527121924
135937.9220121642,135.9379220121642,2.071931903195538,59.870544274738265,49.726365676692915,18.0,20.538832242273514,19.87396319983031,21.44252614104119,20.44766409433439,9.625287065865553,7.658598788217633,0.5314962637943179,2.25923474691918,135937.92201216414,0.9999999999999996,1381287.9354636918,941787.2287252445
133122.35812981776,133.12235812981777,1.2598404568597394,36.40434984141903,30.236170964633743,18.0,20.199846747145724,19.08744622304723,24.532739886108196,18.048493302305264,3.8945117849192368,5.357208978428879,0.3193011560991046,3.6385777638557997,133122.35812981776,1.0,839893.637906493,572654.7531180634
79184.13163592103,79.18413163592103,2.8909208390021948,83.53604856380741,69.38210013605267,18.0,18.66465955498739,18.373472216562398,19.598991132451886,17.787677168068186,1.4556224772862358,0.3255581787762276,0.09895218136380768,0.9431877864330325,79184.1316359211,1.0,1927280.5593347966,1314054.9268191794
32433.867716388046,32.43386771638804,1.9766136850796752,57.116229044062294,47.438728441912204,18.0,18.926804021473654,18.758447990791687,19.15281687792844,19.02744640352288,9.13510315408257,0.5884208309184311,2.099382846292415,0.5650321411369674,32433.867716388148,1.0,1317742.4567197834,898460.7659453069
72164.10227658472,72.16410227658471,1.4002671971966945,40.46212093019569,33.60641273272067,18.0,20.016876994740755,19.466187815414642,20.726726851756414,19.138174777766825,5.222517257406045,2.462639684632073,0.1262044267798701,1.7746246425391412,72164.10227658466,0.9999999999999992,933511.4647977962,636485.0896348611
52451.026310409674,52.451026310409674,2.81701340323037,81.40041929974478,67.60832167752889,18.0,18.76805699044308,18.573008136287317,19.024517958972364,18.684991639022627,7.282993156318094,7.718928092808361,1.4107053706079815,0.6411524213232092,52451.02631040963,0.9999999999999992,1878008.9354869132,1280460.6378319864
146994.6590594782,146.9946590594782,2.132390490585532,61.61755561595954,51.17737177405277,18.0,19.317928951825866,18.576751744110116,22.379019233240633,18.222114453298556,4.71228167319945,1.8645783447929167,0.7230877762690785,2.373728410444375,146994.65905947823,1.0,1421593.6603903547,969268.4048116056
23838.39947111054,23.83839947111054,2.290792377616894,66.19473654361776,54.979017062805454,18.0,18.072407348231078,17.965491502160415,18.78759337233269,17.800829453118602,2.108000496322635,2.5602507121920635,0.4038151035565093,0.3583336335682361,23838.39947111049,0.9999999999999979,1527194.9184112626,1041269.2625531337
38875.73329817291,38.87573329817291,2.2725812256689144,65.66850709692895,54.541949416053946,18.0,18.905707912398395,18.730656490371217,19.141329664131703,18.51925302474391,1.6089535605415561,2.753188632378741,1.285290877195633,0.5890543793332768,38875.733298172985,1.0,1515054.150445943,1032991.466213143
133574.38444986066,133.57438444986067,2.6565738507349126,76.76435799083603,63.7577724176379,18.0,19.406722625458293,18.87532940948544,20.748638182671737,18.559790051799357,2.443288385274184,1.7982530807204729,1.9293262865642473,1.7314003367208457,133574.38444986052,0.9999999999999989,1771049.233823275,1207533.5685158693
91274.26218642139,91.27426218642138,2.707026321602289,78.22223258901975,64.96863171845494,18.0,17.683721362025565,17.346472186938897,21.102805947365677,17.20742637322845,1.2419557614735932,4.94030666607646,2.9345121911789125,1.1610530455796848,91274.26218642149,1.0,1804684.214401526,1230466.5098192224
109521.81098925303,109.52181098925304,2.826310737684435,81.66907507612943,67.83145770442644,18.0,19.25365235509574,18.86567586939032,19.94884042462674,18.32505645043557,0.7580400949983668,2.732474903944536,1.5598757691229286,1.3343719915510341,109521.81098925308,1.0,1884207.1584562901,1284686.6989474706
54208.232691132886,54.208232691132885,0.7258254650132937,20.973452637024135,17.41981116031905,18.0,20.806410069266516,20.034260220173433,21.835111274064054,20.605095401234873,8.618871813042368,4.222460716862381,0.3923710538123243,2.5717530119938417,54208.232691132886,1.0,483883.6433421958,329920.6659151335
116058.79873135786,116.05879873135787,0.8604183045098555,24.86264732711678,20.65003930823653,18.0,22.335357310831636,20.921614294137488,24.812101630586312,21.987729947906466,8.761144706356443,4.193135466666641,0.32322743305739177,4.644774558924144,116058.79873135788,1.0,573612.2030065703,391099.2293226616
92361.96288571968,92.36196288571968,1.5417190833965448,44.549514633826554,37.00125800151707,18.0,20.603639443676702,19.96357258803068,21.428810729047115,20.401469284355073,5.54030805671653,1.375485024273563,2.48148312144091,2.062928213426037,92361.9628857197,1.0,1027812.7222643633,700781.4015438841
86463.48362780466,86.46348362780466,2.540488089106258,73.40994382281441,60.971714138550176,18.0,19.167246780697905,18.821907862484395,19.64545065713953,18.629537543485576,3.5615697063624143,0.986673205790149,1.5621791531557498,1.1719572657655988,86463.48362780474,1.0,1693658.7260708385,1154767.3132301173
136225.7530269358,136.2257530269358,2.5917791797401746,74.89205117777209,62.2027003137642,18.0,19.89658715600085,19.386096065992113,20.620551907028293,19.75830159337731,7.123333600020745,3.2071124221642098,1.386505477498781,1.8099118775685987,136225.7530269357,0.9999999999999993,1727852.7864934497,1178081.4453364431
19564.450629443505,19.564450629443506,0.7396506187909767,21.37294428058406,17.75161485098344,18.0,19.066692965589503,18.789680230319544,19.431024894753932,18.374422969340824,2.538069054589296,7.535423158794481,0.4472129531309932,0.9108298229110758,19564.450629443534,1.0,493100.4125273178,336204.8267231712
70732.01285165348,70.73201285165348,0.5224815943256225,15.097628149633186,12.53955826381494,18.0,22.269770932236582,20.88820730842853,24.918229449173648,18.939708885320513,3.560720757020932,0.25987034661991704,0.13848654323771292,4.661666825587595,70732.01285165346,0.9999999999999998,348321.0628837483,237491.63378437384
96129.8305871497,96.1298305871497,0.70083787285852,20.25141117411979,16.820108948604478,18.0,22.841867479828352,21.427690256314413,24.73114960246422,23.433082676931907,7.226809574059986,2.0865080857637306,2.7019727643263627,4.723205306589676,96129.83058714973,1.0,467225.24857234664,318562.66948114545
69541.27684699232,69.54127684699232,0.5405481774224451,15.619680134798974,12.973156258138683,18.0,21.9354599263294,20.693328209592117,24.696558104478736,22.09892293343579,8.557659422191172,1.117898988247119,1.5191137150034764,4.430007512836724,69541.27684699232,1.0,360365.45161496336,245703.71701020232
73635.75179142464,73.63575179142464,2.548578147010118,73.64371413600436,61.16587552824283,18.0,18.23806998141055,17.95237463995069,20.14973152351432,18.402552808840298,7.822742117946984,6.642103561603474,2.6946089610999326,0.9949172937186965,73635.75179142471,1.0,1699052.0980067453,1158444.6122773264
75360.42842026212,75.36042842026212,1.6397136748161603,47.38116634748776,39.35312819558784,18.0,20.364514045343363,19.859596985096186,20.997554611426086,19.719498336430437,5.647328670121042,6.0201670703491965,0.4692273828509753,1.5826014152068169,75360.42842026215,1.0,1093142.4498774402,745324.3976437093
27126.423585349334,27.126423585349333,2.6163222594846425,75.60124801006823,62.79173422763142,18.0,17.848900281435558,17.740537447118783,19.007957518070114,17.629055996108846,2.7588790860672905,4.318948059376725,0.6979020566161251,0.35702408312736367,27126.423585349432,1.0,1744214.8396564282,1189237.3906748374
74460.86694509264,74.46086694509263,0.73308750285646,21.183296482540268,17.59410006855504,18.0,21.39742736883929,20.264988334235976,22.996780578744982,21.010773976466467,4.625954061061948,5.149082203599699,2.7334981473871482,3.4975866448267787,74460.86694509262,0.9999999999999998,488725.0019043066,333221.5922074818
116451.13943519992,116.45113943519992,1.438616051498355,41.57024942409646,34.52678523596052,18.0,21.506812168464915,20.715670020891523,22.62176126920686,19.714405834510572,1.1472852164655956,1.6226123163959105,1.8099665432036978,2.7873727518548748,116451.13943519995,1.0,959077.3676655701,653916.3870447068
88881.71099749565,88.88171099749566,0.6867401247548435,19.84404264491596,16.481762994116245,18.0,23.32138322881988,21.981002871678857,25.104074689685127,21.861077738511707,6.408033629006539,6.253158492334248,0.5271750445331705,4.456728652163129,88881.71099749567,1.0,457826.74983656226,312154.60216129245
144955.6855031605,144.95568550316048,2.451408206526919,70.83589153580185,58.833796956646054,18.0,20.12602169661465,19.517660984850366,20.94049306027678,18.70224648875207,0.7940815618828467,5.3913123441161055,1.536814346994353,2.036178409155326,144955.68550316058,1.0,1634272.1376846125,1114276.457512236
111889.95814580526,111.88995814580525,1.9314786783906885,55.81200789077733,46.35548828137652,18.0,19.69159394692817,19.10535912547081,21.095904481234236,19.220747269966342,5.419236638228124,4.086047523236307,1.3451365556098493,1.9947910117343355,111889.95814580527,1.0,1287652.452260459,877944.8538139494
